,Stats_SeasonEnd,Age_seasonEnd,Games,GamesStarted,MinPlayed,PER,TS%,OffRb%,Drebound%,TotalRbnd%,Assist%,Steal%,Block%,Turnover%,Usg%,OffWinShares,Dwinshares,WinShares,3PtMade,3PtAttempt,3Pt%,2PMade,2PAttempt,2Pt%,FTMade,FTAttempt,FT%,Offrb,Drebounds,TotalRbnds,Assists,Steals,Blocks,Turnover,PersonalFouls,Pts,Salary,next_season_salary,next_season_winshares,next_season_off_winshares,next_season_def_winshares,Player_first_year,Years_Playing,Position_Mapped,Season_Salary_Cap,Salary_as_percent_of_cap,next_season_salary_as_percent_of_cap
3Pt%,0.10823417816475378,0.029586428744684316,0.22994149680029116,0.16095320170963295,0.25895583356633717,0.17459498580918498,0.23174399038925017,-0.42940171708600705,-0.32683094121446854,-0.4231679380361075,0.32957323171035774,0.11071492851997077,-0.30991027100232954,-0.14760015481628605,0.18308422074716613,0.215306529149593,0.0985748336680915,0.18808562999113818,0.5026061554101824,0.4963599523472554,1.0,0.13887966544186123,0.15887678839355676,-0.005370691955568325,0.17892956833078974,0.13856566503162,0.3117060701200644,-0.13232650476812371,0.04869745350589763,-0.007676680368534769,0.3123751001600742,0.28348441775676547,-0.12912070043728846,0.2263384029633156,0.1036735371010906,0.2693174061233769,0.11260471792135164,0.11298088552029273,0.13199551146924413,0.1633957159379867,0.04806455405672824,0.06535147342737539,0.05598716709504183,0.182321351847108,0.10830070224516242,0.07335432873585743,0.07116591234975879
2PMade,-0.10551963193451994,-0.034623167374967595,0.7066673735742754,0.8087412353335452,0.8904671405776955,0.5520687344032429,0.31468582473642154,0.010507182871364085,0.13207540372292978,0.09037826797751182,0.21928234812086533,0.027951196668807063,0.045437679677800207,-0.18194038492141734,0.4298868739423658,0.7564904518556378,0.7642595053401985,0.8325428332627604,0.33953165840623534,0.36445642994916544,0.13887966544186123,1.0,0.9930688000142663,0.2812539034958993,0.8914593643165022,0.9054572803125585,0.2731400262375091,0.7047409942818177,0.8236287749105422,0.8099900626653327,0.6405320893771024,0.7557202815845407,0.5647959643752476,0.884302417726647,0.7869147005640961,0.952357501017371,0.4569846163543834,0.49380476453099614,0.634900251224532,0.5808159708503579,0.576337770377583,-0.12220958717017544,0.05660456910952964,-0.0038156901382153468,-0.09983841722988035,0.5553220711000163,0.5932169903573646
2PAttempt,-0.11393420652980778,-0.03435880048409037,0.7158907452423175,0.8098675772516922,0.8988965578950056,0.5341838955534502,0.2875350164766336,-0.014357686185508093,0.10533518594605291,0.06021027929644874,0.2409890881463373,0.035918429170140556,0.022754777755910775,-0.18527521866039653,0.4435444711843482,0.7217676619095769,0.7509657277132369,0.8032911925471011,0.3640706371304303,0.39142315618879314,0.15887678839355676,0.9930688000142663,1.0,0.24378627690907545,0.893377731843876,0.9019423766602641,0.28912156437921727,0.6806277662185332,0.806896981155638,0.790406645926479,0.6600819651183175,0.7692946324945003,0.537576457348134,0.8958172392701022,0.7877332079136271,0.9549314125212034,0.4510704425836911,0.484570326685423,0.6142849637790584,0.5598643144696338,0.5610968835557116,-0.12928851038155975,0.056049995898137854,0.003823008940774013,-0.1085990246529972,0.5511390378695735,0.5841799079224255
2Pt%,0.03555152741769303,-0.026372824254942154,0.30168374952923466,0.22773534431579567,0.27516474188779255,0.5800490475012173,0.8170612548785431,0.11974488223638469,0.1488074768127449,0.15295663587045363,-0.00023875847041549713,-0.004714693410212854,0.10760996673881301,-0.05437288006798555,0.05167592535498974,0.2921199741939685,0.26691219640421143,0.30981327175894036,0.07514768515695287,0.07673099830405691,-0.005370691955568325,0.2812539034958993,0.24378627690907545,1.0,0.2218997134826701,0.2412758849535918,0.20548280832262938,0.2919014432053633,0.29458748937266027,0.30243172008159014,0.13679289982198126,0.21065699856096834,0.2421744348718141,0.23072917323195563,0.30187873669929915,0.25583810486175745,0.14698326812089887,0.16611433426244032,0.24052039035910616,0.21653810890632091,0.22409932825928908,0.026822476488135738,0.008208606212305958,-0.028402807059451265,0.04019764612889033,0.14908071986798924,0.17009300985245776
FTMade,-0.07894667327568276,-0.03328713865679703,0.6285256205286065,0.7345887872937337,0.8275584242245868,0.5474504618617323,0.3215929704409222,-0.04414130768894408,0.07400324668189837,0.0267053715006632,0.27093330436418295,0.05292305718798623,-0.00046948605562922906,-0.1453171843046225,0.45523422880815917,0.8169600617772765,0.6945730262425887,0.8452881037228829,0.4366339134935491,0.46107744846458665,0.17892956833078974,0.8914593643165022,0.893377731843876,0.2218997134826701,1.0,0.9874827887277956,0.30661106927565474,0.5731792553844995,0.7278018370213432,0.6999199840148099,0.6574008090570566,0.7310749951969693,0.46441138008621474,0.873481573970872,0.696192844357144,0.9315659635586223,0.46471071099665456,0.5019791409967168,0.6547918037316012,0.6359585929767597,0.5326997997374865,-0.09721563961031605,0.05333998125283234,0.027737951018439864,-0.07172745278175262,0.5412515030925349,0.5770405008065096
FTAttempt,-0.08764806599430498,-0.04810776737666622,0.6430416771412546,0.7441654428520397,0.8336538352819769,0.5505090897457123,0.3205485161362385,0.004306593851625248,0.12209668974046699,0.08142503019226846,0.23786770694255754,0.04595658393884243,0.04246875389586356,-0.13614720280603235,0.4381012441087981,0.7945501642485856,0.7289460606208316,0.8440269648663749,0.38525558041747615,0.41116812997094015,0.13856566503162,0.9054572803125585,0.9019423766602641,0.2412758849535918,0.9874827887277956,1.0,0.259677764480171,0.6417253067638286,0.7710931641254435,0.7525555941435373,0.631965840166938,0.727883723156502,0.5294679293515488,0.8781731501215367,0.7274887686538006,0.9239371867891355,0.46690414036531974,0.5059338283989672,0.6564854436128248,0.6205052113312193,0.5627148455644626,-0.09946945950466059,0.04313663285695354,0.013317984555175919,-0.08099467510901781,0.5528648744673182,0.5897531745404353
FT%,0.003155325771338564,0.068178926290929,0.3671760167736012,0.22970410030895708,0.34185233017495903,0.36245613190902176,0.43919136016115956,-0.2452653782892061,-0.13552388594639764,-0.2129638830399094,0.23314401191592074,0.05756173399331227,-0.17854872872403452,-0.16018557978523834,0.20483350580650975,0.2763545799167799,0.19984667186906346,0.271198447261371,0.3157876475732612,0.3227420268253797,0.3117060701200644,0.2731400262375091,0.28912156437921727,0.20548280832262938,0.30661106927565474,0.259677764480171,1.0,0.08392609925364446,0.19652859874257583,0.16637276210250793,0.29927418954813095,0.3001127712159247,0.03770805647959489,0.3075285752192289,0.2705175698967308,0.33532103241951994,0.17051626658540125,0.15915962696057892,0.2050363003611211,0.22288221102098416,0.12719999372279484,-0.03776021263505405,0.07702556238255027,0.06575780380231672,0.006809107271872823,0.1751191811076678,0.15955092711500113
Offrb,-0.12500816596947692,-0.039139595547615,0.6138850322193847,0.6215063079366457,0.6667695191340807,0.40749667149192687,0.2655128365502076,0.3869789535829882,0.43497062608737236,0.46954365016129374,-0.14974067044916117,-0.06902085900480454,0.2723759191201625,-0.09626834954396264,0.0837259208913988,0.5035990858909456,0.7175509332639576,0.6399119915775746,-0.012579687270260945,-0.0013858872212865571,-0.13232650476812371,0.7047409942818177,0.6806277662185332,0.2919014432053633,0.5731792553844995,0.6417253067638286,0.08392609925364446,1.0,0.8678330109953086,0.9356780943811397,0.2227906892378977,0.4703896345989089,0.7439942975047942,0.5776218675160374,0.7694569541778744,0.5898795669559741,0.2966621408097128,0.32049744890583914,0.46315053243651233,0.35309532569352325,0.5387296456221486,-0.11878406239342669,0.01764639310059314,-0.11753894029058401,-0.12079904896234833,0.40657378450890524,0.4306322665620017
Drebounds,-0.008624465690211074,0.01978008964061134,0.7135692610585648,0.7705950313507726,0.8344098356177978,0.48231124677499754,0.3171323631157511,0.16081325293315413,0.4123841126940029,0.34548921395099497,0.02502206995037802,-0.03543474737424577,0.1892542832683255,-0.13398610619085255,0.18780317177222,0.6449199187869887,0.8620442908600635,0.7963071884040067,0.270191766627299,0.28486606544420423,0.04869745350589763,0.8236287749105422,0.806896981155638,0.29458748937266027,0.7278018370213432,0.7710931641254435,0.19652859874257583,0.8678330109953086,1.0,0.987330351122963,0.44877349212184064,0.6398294828381226,0.7338169277130218,0.7490206009707139,0.827487294930115,0.780362013184481,0.46995599572011487,0.49480068765831164,0.5898896500091908,0.4760729646305639,0.6417609974568833,-0.06009466318568545,0.09986482877533938,-0.06720683660291288,-0.0036091657111889117,0.522889712910738,0.5477481339857903
TotalRbnds,-0.046048066871542274,0.001547526944722076,0.7028123465527454,0.7457445997483335,0.8055197588336919,0.4726655016190842,0.31001494281683273,0.23779296887452922,0.43177919477081966,0.3953134978556147,-0.030051818823785877,-0.04720769886511964,0.22139092862729512,-0.12589831349229214,0.1601122504400445,0.6188378574815683,0.841362850371877,0.7698828599693157,0.18786598277546507,0.2018622094461979,-0.007676680368534769,0.8099900626653327,0.790406645926479,0.30243172008159014,0.6999199840148099,0.7525555941435373,0.16637276210250793,0.9356780943811397,0.987330351122963,1.0,0.3898592646182764,0.6046168323951387,0.7587440330428793,0.7164078369122998,0.8333982757349807,0.7425804058674071,0.42849448116676875,0.4538066469998123,0.567203751637818,0.451079709810581,0.6283390805936229,-0.08061316580576411,0.07655715758253398,-0.08526640698368164,-0.04114208219563019,0.501188584158306,0.5268667364138845
