,0,1,2,3,4,5,6,7,8
8,168,"Jerian Grant, PG",CHI,74,22.8,0.59,-1.25,-0.66,2.63
9,169,"Trey Lyles, PF",DEN,73,19.1,0.72,-0.82,-0.10,2.63
10,170,"Ekpe Udoh, C",UTAH,63,12.9,-1.38,3.36,1.98,2.61
11,171,"Jonas Jerebko, PF",UTAH,74,15.3,0.40,0.10,0.50,2.60
12,172,"Mike Muscala, PF",ATL,53,20.0,0.15,0.39,0.54,2.56
13,173,"Kyle Kuzma, PF",LAL,77,31.2,0.04,-1.56,-1.52,2.50
14,174,"CJ Miles, SF",TOR,70,19.1,0.92,-1.24,-0.32,2.39
15,175,"Markieff Morris, PF",WSH,73,27.0,-1.14,-0.09,-1.23,2.36
16,176,"Jerami Grant, SF",OKC,81,20.3,-0.48,-0.36,-0.84,2.36
17,177,"Kelly Oubre Jr., SF",WSH,81,27.5,-0.18,-1.31,-1.49,2.34
18,178,"Taurean Prince, SF",ATL,82,30.0,0.05,-1.73,-1.68,2.32
19,179,"Tyson Chandler, C",PHX,46,25.0,-2.15,2.11,-0.04,2.31
20,180,"Salah Mejri, C",DAL,61,12.0,-1.54,3.48,1.94,2.31
21,181,"Josh Hart, SG",LAL,63,23.2,0.31,-0.99,-0.68,2.31
22,182,"Rajon Rondo, PG",NO,65,26.2,-0.67,-0.44,-1.11,2.30
23,183,"Thabo Sefolosha, SF",UTAH,38,21.2,-0.64,2.05,1.41,2.30
24,184,"Mason Plumlee, C",DEN,74,19.5,-1.65,1.00,-0.65,2.27
25,185,"J.J. Barea, PG",DAL,69,23.2,1.54,-2.43,-0.89,2.26
26,186,"Jose Calderon, PG",CLE,57,16.0,0.22,0.45,0.67,2.19
27,187,"Jarrett Jack, PG",NY,62,25.0,-0.50,-0.41,-0.91,2.18
28,188,"Milos Teodosic, PG",LAC,45,25.2,-0.02,-0.23,-0.25,2.18
29,189,"Luke Kennard, SG",DET,73,20.0,-0.17,-0.58,-0.75,2.15
30,190,"Reggie Jackson, PG",DET,45,26.7,0.68,-0.99,-0.31,2.13
31,191,"Wesley Johnson, SF",LAC,74,20.1,-2.37,1.41,-0.96,2.12
32,192,"Langston Galloway, SG",DET,58,14.9,0.19,0.59,0.78,2.11
33,193,"Lauri Markkanen, PF",CHI,68,29.7,-0.63,-0.88,-1.51,2.10
34,194,"Malcolm Brogdon, PG",MIL,48,29.9,0.02,-0.85,-0.83,2.08
35,195,"Bam Adebayo, C",MIA,69,19.8,-2.35,1.68,-0.67,2.08
36,196,"Patrick Patterson, PF",OKC,82,15.5,-0.88,0.43,-0.45,2.06
37,197,"Daniel Theis, PF",BOS,63,14.8,-1.28,1.67,0.39,2.05
38,198,"Ryan Anderson, PF",HOU,66,26.1,0.65,-1.95,-1.30,2.02
39,199,"Shelvin Mack, PG",ORL,69,19.8,0.09,-0.96,-0.87,1.94
40,200,"Ian Mahinmi, C",WSH,77,14.9,-1.94,1.44,-0.50,1.92
0,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,201,"Brandon Ingram, SF",LAL,59,33.5,-1.45,-0.21,-1.66,1.88
2,202,"Harrison Barnes, SF",DAL,77,34.2,-0.51,-1.49,-2.00,1.87
3,203,"Bogdan Bogdanovic, SG",SAC,78,27.9,0.34,-2.10,-1.76,1.87
