,0,1,2,3
37,274,"Georgios Papagiannis, C",Sacramento Kings,"$2,202,240"
38,275,"Mo Williams, PG",Denver Nuggets,"$2,194,500"
39,276,"Andre Roberson, SG",Oklahoma City Thunder,"$2,183,072"
40,277,"Joe Ingles, SF",Utah Jazz,"$2,150,000"
41,278,"TJ Warren, SF",Phoenix Suns,"$2,128,920"
42,279,"Rudy Gobert, C",Utah Jazz,"$2,121,288"
43,280,"Cameron Payne, PG",Oklahoma City Thunder,"$2,112,480"
0,RK,NAME,TEAM,SALARY
1,281,"Denzel Valentine, SF",Chicago Bulls,"$2,092,200"
2,282,"Tim Frazier, PG",New Orleans Pelicans,"$2,090,000"
3,283,"Kendall Marshall, PG",Milwaukee Bucks,"$2,048,257"
4,284,"Adreian Payne, PF",Minnesota Timberwolves,"$2,022,240"
5,285,"Kelly Oubre Jr., SF",Washington Wizards,"$2,006,640"
6,286,"Juan Hernangomez, PF",Denver Nuggets,"$1,987,440"
7,287,"Lucas Nogueira, C",Toronto Raptors,"$1,921,320"
8,288,"Jusuf Nurkic, C",Portland Trail Blazers,"$1,921,320"
9,289,"Terry Rozier, PG",Boston Celtics,"$1,906,440"
10,290,"James Young, SG",Boston Celtics,"$1,825,200"
11,RK,NAME,TEAM,SALARY
12,291,"Rashad Vaughn, G",Milwaukee Bucks,"$1,811,040"
13,292,"Kevin Seraphin, C",Indiana Pacers,"$1,800,000"
14,293,"Wade Baldwin IV, PG",Memphis Grizzlies,"$1,793,760"
15,294,"Quincy Acy, SF",Brooklyn Nets,"$1,790,092"
16,295,"Tyler Ennis, PG",Los Angeles Lakers,"$1,733,880"
17,296,"Sam Dekker, SF",Houston Rockets,"$1,720,560"
18,297,"Joffrey Lauvergne, C",Oklahoma City Thunder,"$1,709,719"
19,298,"Henry Ellenson, PF",Detroit Pistons,"$1,704,120"
20,299,"Gary Harris, SG",Denver Nuggets,"$1,655,880"
21,300,"Jerian Grant, PG",Chicago Bulls,"$1,643,040"
22,RK,NAME,TEAM,SALARY
23,301,"Malik Beasley, SG",Denver Nuggets,"$1,627,320"
24,302,"Bruno Caboclo, SF",Toronto Raptors,"$1,589,640"
25,303,"Delon Wright, PG",Toronto Raptors,"$1,577,280"
26,304,"Caris LeVert, SG",Brooklyn Nets,"$1,562,280"
27,305,"David Lee, PF",San Antonio Spurs,"$1,551,659"
28,306,"Caron Butler, SF",Sacramento Kings,"$1,551,659"
29,307,"Mitch McGary, PF",Oklahoma City Thunder,"$1,526,040"
30,308,"Justin Anderson, SG",Philadelphia 76ers,"$1,514,160"
31,309,"Marcelo Huertas, PG",Los Angeles Lakers,"$1,500,000"
32,310,"DeAndre' Bembry, SF",Atlanta Hawks,"$1,499,760"
33,RK,NAME,TEAM,SALARY
34,311,"Jordan Adams, SG",Memphis Grizzlies,"$1,465,080"
35,312,"Bobby Portis, PF",Chicago Bulls,"$1,453,680"
36,313,"Demetrius Jackson, PG",Boston Celtics,"$1,450,000"
37,314,"Malachi Richardson, SG",Sacramento Kings,"$1,439,800"
38,315,"Rodney Hood, SG",Utah Jazz,"$1,406,520"
39,316,"Marreese Speights, PF",LA Clippers,"$1,403,611"
40,317,"Michael Beasley, SF",Milwaukee Bucks,"$1,403,611"
41,318,"JaVale McGee, C",Golden State Warriors,"$1,403,611"
42,319,"Rondae Hollis-Jefferson, SF",Brooklyn Nets,"$1,395,600"
43,320,"Deyonta Davis, C",Memphis Grizzlies,"$1,369,299"
0,RK,NAME,TEAM,SALARY
1,321,"Nikola Jokic, C",Denver Nuggets,"$1,358,500"
2,322,"Shabazz Napier, PG",Portland Trail Blazers,"$1,350,120"
3,323,"Willy Hernangomez, C",New York Knicks,"$1,350,000"
4,324,"Guillermo Hernangomez, C",New York Knicks,"$1,350,000"
5,325,"Tyus Jones, PG",Minnesota Timberwolves,"$1,339,680"
6,326,"Sasha Kaun, C",Philadelphia 76ers,"$1,333,240"
7,327,"Timothe Luwawu-Cabarrot, SG",Philadelphia 76ers,"$1,326,960"
8,328,"Clint Capela, C",Houston Rockets,"$1,296,240"
9,329,"Jarell Martin, PF",Memphis Grizzlies,"$1,286,160"
10,330,"Brice Johnson, PF",LA Clippers,"$1,273,920"
11,RK,NAME,TEAM,SALARY
12,331,"Luke Babbitt, SF",Miami Heat,"$1,227,286"
13,332,"Jeremy Evans, F",Atlanta Hawks,"$1,227,286"
14,333,"Jordan Mickey, C",Boston Celtics,"$1,223,653"
